month,soc2d_code,employment_nsa,employment_sa,active_postings_nsa,active_postings_sa,soc2d_name,count,salary_nsa,salary_sa,rl_hiring_rate_nsa,rl_attrition_rate_nsa,rl_hiring_rate,rl_attrition_rate
2022-03-01,23,1910869,1918316,150001.0,146581.41902531617,Legal,18998.0,82458.0,82989.0,0.2916213182465929,0.2544234630848599,0.3564536332619849,0.3096783020547425
2022-04-01,23,1913269,1923933,147741.0,146793.8518620636,Legal,17251.0,83568.0,83349.0,0.2741035465268902,0.2591062449771543,0.3446397880843376,0.3096158813830527
2022-05-01,23,1932635,1932420,169221.0,150211.56892885966,Legal,15725.0,81992.0,82627.0,0.4277097368770924,0.307602199615169,0.350118960857296,0.2974124962057265
2022-06-01,23,1942333,1941380,137184.0,129845.54813084628,Legal,13988.0,82654.0,83215.0,0.3576071064362531,0.297935312973513,0.345442974395421,0.2900693030947032
2022-07-01,23,1944949,1947980,141289.0,136098.29501675803,Legal,13538.0,82322.0,80151.0,0.2958950026673992,0.2798616324661253,0.3294099009396022,0.288755415533056
2022-08-01,23,1959110,1958246,138639.0,140283.41812674815,Legal,16567.0,82738.0,84208.0,0.4560856612894723,0.3696972126489558,0.3494769958407647,0.2865684201135077
2022-09-01,23,1968745,1964517,131610.0,140347.79625542933,Legal,17171.0,85865.0,86484.0,0.4171505154527454,0.3584240037353521,0.3219134670435103,0.2836072483612994
2022-10-01,23,1980676,1970781,138322.0,142335.11600903916,Legal,14427.0,83570.0,86768.0,0.326149941153719,0.2539736123366086,0.3224036321085876,0.284259706833582
2022-11-01,23,1984963,1976795,135866.0,140915.21966923145,Legal,11724.0,86661.0,87376.0,0.2317438748728055,0.2060256662851463,0.3206523226994651,0.2841436454079831
2022-12-01,23,1983230,1983381,138976.0,144437.86412553213,Legal,11585.0,89327.0,87483.0,0.1881237650090827,0.1989184967758681,0.319226181085072,0.2793765929554065
2023-01-01,23,1992981,1990026,144841.0,155407.8015754115,Legal,16288.0,90744.0,89206.0,0.4905131186938224,0.4320506533064233,0.3174222403436999,0.2773472025415648
2023-02-01,23,1991353,1996978,133758.0,137460.93511402747,Legal,15658.0,91332.0,91451.0,0.2262339668005247,0.236206245048783,0.315642577885029,0.2738683952173472
2023-03-01,23,1996015,2003574,151350.0,146094.31730825806,Legal,18260.0,91290.0,92477.0,0.2519086679272765,0.224221131868572,0.3122366284829757,0.2727278311562428
2023-04-01,23,1997108,2008732,141715.0,139023.65158674118,Legal,17343.0,92479.0,92184.0,0.238770519680148,0.2325276201326766,0.3051969830923473,0.2743904187901277
2023-05-01,23,2016399,2016613,139790.0,130465.02768702438,Legal,17907.0,92820.0,92638.0,0.4020485863696702,0.2874476178864739,0.3218705779951155,0.2749763369476457
2023-06-01,23,2023028,2021109,137112.0,134110.91913630755,Legal,18640.0,95174.0,94806.0,0.3212159614514884,0.281961734168026,0.3050542055450924,0.278356066543471
2023-07-01,23,2024664,2027505,135095.0,132023.96550146842,Legal,24029.0,97669.0,96487.0,0.2847394849584679,0.2754058037606992,0.322068736939043,0.284213441290907
2023-08-01,23,2033852,2033383,137804.0,139222.27184609586,Legal,19450.0,97364.0,98348.0,0.4038290313445786,0.3497495070881115,0.3078458484078445,0.2731540594097196
2023-09-01,23,2042994,2038323,138802.0,135593.88687573973,Legal,16665.0,96868.0,97054.0,0.3948838761612139,0.3416370301851377,0.2955383265396521,0.2664687704716884
2023-10-01,23,2055485,2044835,168270.0,170243.7642776629,Legal,18198.0,101966.0,102424.0,0.3157918593538965,0.2429838692559948,0.3085682210889461,0.2703588218452727
2023-11-01,23,2059697,2051466,151027.0,157726.86133036244,Legal,16905.0,103870.0,103555.0,0.2235417200210268,0.2001083884888539,0.3119116164281498,0.2731251597333712
2023-12-01,23,2057041,2057668,133667.0,139819.48360591786,Legal,14241.0,106482.0,106694.0,0.1719556083717255,0.1874613578847903,0.2951052215652394,0.2589373451123365
2024-01-01,23,2066329,2063832,151581.0,156522.76277535982,Legal,33962.0,106800.0,104994.0,0.4500135195717464,0.3963681176975818,0.296259543671972,0.2604066005306412
2024-02-01,23,2064604,2069861,141596.0,146331.81349331723,Legal,27529.0,102695.0,103433.0,0.2140006278097341,0.2243441011916447,0.3027037261932748,0.2677545281622203
2024-03-01,23,2068251,2075869,149386.0,141771.14458845937,Legal,30139.0,104082.0,106171.0,0.2281052118845904,0.2069763041751398,0.2864296615602567,0.2516972846184653
2024-04-01,23,2069260,2082002,145465.0,139321.2183565119,Legal,45466.0,109906.0,109474.0,0.2467373564972028,0.2409339787834118,0.3193625214166198,0.2840148101972814
2024-05-01,23,2087237,2088523,154408.0,147360.33586687205,Legal,47873.0,110801.0,110185.0,0.3788893940667055,0.2758319178089529,0.297596079953008,0.2601221845818099
2024-06-01,23,2093678,2090346,159649.0,158821.68657799842,Legal,48065.0,112476.0,110602.0,0.304456556628761,0.2676416495355739,0.279696673520686,0.2692330677562529
2024-07-01,23,2095497,2097654,150485.0,148660.09229144963,Legal,45868.0,109398.0,109963.0,0.271910594156185,0.2621939565884334,0.3112386128922586,0.2694343754954298
2024-08-01,23,2105341,2105136,166452.0,169308.52303362466,Legal,47392.0,110737.0,110981.0,0.3883850624774435,0.3324511986775929,0.2991970186255533,0.2565468960182885
2024-09-01,23,2116938,2111888,164687.0,157418.68962054953,Legal,44175.0,112740.0,112740.0,0.4046769313996435,0.3389576492142868,0.2963708620942438,0.2580023806892191
2024-10-01,23,2128787,2117341,164959.0,170641.56412697077,Legal,50753.0,113198.0,113987.0,0.2921778808565633,0.2254153419795646,0.2815833973864433,0.2506749696120043
2024-11-01,23,2131325,2123099,153489.0,168810.21895509626,Legal,39762.0,113367.0,112740.0,0.2042771172323561,0.1900074055075503,0.2889340723895243,0.2563971293258222
2024-12-01,23,2127579,2128765,138680.0,145082.1862585279,Legal,17758.0,108678.0,111314.0,0.1748306961854767,0.1959767147757602,0.3012879821484301,0.2693444217103237
2025-01-01,23,2136922,2134885,140420.0,137642.23672009117,Legal,47529.0,110354.0,106423.0,0.4518215169997182,0.3994751967672427,0.3033077397211667,0.2689000227096673
2025-02-01,23,2133296,2138205,140746.0,144427.16187715583,Legal,46522.0,111939.0,111780.0,0.1928551595539949,0.2133440767991953,0.2789365758251485,0.2603076781377506
2025-03-01,23,2134367,2142190,140544.0,132155.2549365124,Legal,44329.0,115814.0,117478.0,0.21964820101264,0.2137429091777249,0.2811142160414469,0.258788832704551
2025-04-01,23,2131539,2145395,157668.0,147091.0405163353,Legal,44070.0,112174.0,111677.0,0.2095727697989997,0.2263231162663249,0.2797725080783984,0.2618487083637938
2025-05-01,23,2147849,2150199,172023.0,175676.52802032733,Legal,40788.0,110200.0,110666.0,0.3564033378835852,0.2653684751625763,0.2736047534448537,0.2467889906896777
2025-06-01,23,2151297,2146542,168019.0,181964.57420584152,Legal,43890.0,112675.0,111544.0,0.2904263054814088,0.271681002655362,0.2576780420955874,0.2781221959624217
2025-07-01,23,2147154,2148573,144315.0,150285.62879090858,Legal,44109.0,114083.0,114873.0,0.2273067847385096,0.250779592678594,0.2663489590277207,0.2550118306400694
2025-08-01,23,2151290,2151318,145393.0,146829.11878484685,Legal,47153.0,118985.0,121010.0,0.3531681584094041,0.3315533768705375,0.2722134918194029,0.2568924138402352
2025-09-01,23,2159734,2154306,140911.0,140622.68791764803,Legal,43790.0,118980.0,118359.0,0.3861426767788347,0.3394897015886917,0.2725481729913326,0.2559044805662234
2025-10-01,23,2163235,2151092,128124.0,128191.1834900008,Legal,41172.0,117597.0,119572.0,0.2699377384850494,0.2506909493683757,0.2590453970393045,0.2769746304643615
2025-11-01,23,2163176,2155130,127991.0,139118.73380367257,Legal,35442.0,123175.0,122003.0,0.1888523215870287,0.1897850070360097,0.2735097573619356,0.2510239713574737
2025-12-01,23,2159566,2161318,133370.0,140527.91715879625,Legal,25627.0,120857.0,123168.0,0.1623982644305947,0.1828695532907291,0.2827960170632513,0.2484370988883736
2026-01-01,23,2164768,2163229,137906.0,128797.8422313702,Legal,29699.0,131441.0,125342.0,0.4033553360500316,0.3750916752865719,0.2722266568857452,0.2616275205787732
2026-02-01,23,2162562,2167076,136576.0,138250.7670527384,Legal,25701.0,128229.0,127047.0,0.1902105719352465,0.2025361555909849,0.2778130409123311,0.256515301247099
2026-03-01,23,2165063,2173095,138382.0,131569.8527623482,Legal,26417.0,127276.0,128346.0,0.2206155731228858,0.2067999714044046,0.2855096977828263,0.2522712819677117
2026-04-01,23,2164765,2179538,136308.0,128780.51515917126,Legal,24322.0,131387.0,130935.0,0.2108780227106586,0.2128259363421766,0.2832032887280106,0.2477312121880353
2026-05-01,23,2190661,2194062,135124.0,138206.75896003345,Legal,23507.0,131119.0,132636.0,0.4005475490839909,0.2588237099808784,0.3078313800584668,0.2283914928021264
2026-06-01,23,2205593,2199276,135870.0,137465.03064986237,Legal,24604.0,131460.0,130772.0,0.3401339237947605,0.2590977547716191,0.2940887672616663,0.2656364602822436
2026-07-01,23,2204952,2205585,141304.0,139778.09023726903,Legal,24275.0,129646.0,131050.0,0.2414969090315348,0.2451953813379131,0.2843363082360485,0.2500088147243551
2026-08-01,23,2211310,2211606,129015.0,137097.2498768715,Legal,21764.0,129906.0,134147.0,0.3359461455021617,0.3016164225012848,0.2614844355577435,0.2288168826068204
2021-01-01,25,6470072,6412501,,,Educational Instruction and Library,,,,0.3110630362957632,0.2627208892641569,0.2282294653557811,0.2118019718433909
2021-02-01,25,6460860,6425259,,,Educational Instruction and Library,,,,0.1166078195632349,0.1339854855517793,0.2374869784653319,0.2136619455275974
2021-03-01,25,6468200,6440350,,,Educational Instruction and Library,,,,0.1200513878456638,0.1064342026204598,0.257290668541404,0.2291713747618796
2021-04-01,25,6466803,6451122,,,Educational Instruction and Library,,,,0.1041104829056962,0.1069426347361209,0.2467357682729258,0.2266999861566836
2021-05-01,25,6455227,6470354,,,Educational Instruction and Library,,,,0.1707875399864177,0.1927034652053595,0.2431102998706424,0.2074437179942627
2021-06-01,25,6375449,6495149,,,Educational Instruction and Library,,,,0.2641812642295761,0.4158740044073129,0.264852123937824,0.2190432486128443
2021-07-01,25,6306941,6504885,,,Educational Instruction and Library,,,,0.3225952147984494,0.453805171099148,0.2530972383558928,0.2351355953914821
2021-08-01,25,6530875,6517375,,,Educational Instruction and Library,,,,0.9172940448831596,0.5070901412510496,0.2740337401613702,0.2510376092662953
