soc6,title,mapping_confidence,data_confidence_score,career_evidence_index_beta,market_opportunity_score,growth_score,opening_score,wage_score,future_skill_fit_score,ai_potential_exposure_score,ai_observed_usage_score,HumanMoat_seed_equal_weight,Physicality,Judgment,Interaction,Responsibility,Context,"Employment, 2025","Employment change, percent, 2025–35","Occupational openings, 2025–35 annual average","Median annual wage, dollars, 2025","Occupational transfer rate, 2025–35 annual average",Typical education needed for entry,career_evidence_index_percentile_rank,market_opportunity_percentile_rank,future_skill_fit_percentile_rank,human_structure_percentile_rank,evidence_coverage_pct,data_confidence_label,ilo_pct,anthropic_pct,exposure_gap,abs_exposure_gap,2025 National Employment Matrix occupation code,bls_ai_mention_count,bls_ai_mention,decision_social_context_score,embodied_physicality_score,soc2d_code,soc2d_name,employment_common_2022_annualized_pct,postings_common_2022_annualized_pct,salary_common_2022_annualized_pct,rl_hiring_rate_common_2022_mean,rl_attrition_rate_common_2022_mean,net_hiring_rate_common_2022_mean
11-9031,"Education and Childcare Administrators, Preschool and Daycare",A,100.0,46.1,14.6,17.8,10.6,47.0,78.1,29.9,4.0,68.30918404683497,43.57848518111965,67.81924624954263,80.94401756311746,75.05488474204171,74.14928649835345,91.9,-3.1,5.2,59300.0,3.8,Bachelor's degree,38.22751322751323,4.212454212454213,92.55189255189256,86.64122137404581,100.0,A,58.333333333333336,63.49206349206349,5.158730158730151,5.158730158730151,,0,0,74.4918587632638,43.57848518111965,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9032,"Education Administrators, Kindergarten through Secondary",A,100.0,58.5,20.6,26.3,13.8,87.1,87.3,36.3,5.2,60.473106476399565,31.77826564215148,69.72191730698866,87.5192096597146,40.861690450054894,72.48444932308817,343.8,-0.3,20.6,105870.0,3.8,Master's degree,70.83333333333334,7.814407814407814,99.63369963369964,74.04580152671755,100.0,A,67.5,67.32804232804233,-0.1719576719576707,0.1719576719576707,,0,0,67.64681668496158,31.77826564215148,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9033,"Education Administrators, Postsecondary",A,100.0,59.7,29.0,39.4,16.2,86.1,77.6,36.3,6.4,62.75997072813758,9.60482985729967,90.34028540065862,73.46871569703623,57.21734357848518,83.1686791072082,231.8,1.8,14.5,104590.0,3.8,Master's degree,74.0079365079365,17.032967032967033,91.6971916971917,78.7531806615776,100.0,A,67.5,69.97354497354497,2.473544973544975,2.473544973544975,,0,0,76.04875594584706,9.60482985729967,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9039,"Education Administrators, All Other",A,50.0,,28.2,37.9,16.5,80.0,83.2,36.3,,,,,,,,62.0,1.6,3.9,95200.0,3.8,Bachelor's degree,,16.605616605616603,97.68009768009767,,50.0,C,67.5,,,,,0,0,,,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9041,Architectural and Engineering Managers | Biofuels/Biodiesel Technology and Product Development Managers,A,100.0,70.3,52.4,75.4,24.3,96.7,81.3,39.8,3.1,57.66776436150749,32.775338455909264,75.50311013538236,63.51262349066958,48.71020856201976,67.83754116355652,220.9,5.5,14.9,171270.0,4.1,Bachelor's degree,93.38624338624338,54.761904761904766,95.7875457875458,68.44783715012723,100.0,A,81.13095238095238,60.71428571428571,-20.41666666666667,20.41666666666667,,0,0,63.89087083790706,32.775338455909264,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9051,Food Service Managers,A,100.0,71.0,79.1,78.4,80.0,60.9,66.0,36.3,0.0,74.35784851811196,64.6359312111233,70.16099524332236,90.12074643249176,68.11196487376509,78.75960482985731,344.3,5.8,38.8,69390.0,7.3,High school diploma or equivalent,94.24603174603176,89.98778998779,72.22222222222221,92.74809160305344,100.0,A,67.73809523809524,27.24867724867725,-40.48941798941799,40.48941798941799,,0,0,76.78832784485913,64.6359312111233,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9071,Gambling Managers,A,100.0,71.8,66.3,57.9,76.6,79.0,72.7,32.2,0.0,71.7811928283937,28.59495060373216,72.9784120014636,91.47091108671788,81.17453347969266,84.68715697036224,5.6,3.6,0.6,93220.0,6.7,High school diploma or equivalent,94.9074074074074,77.22832722832723,84.43223443223444,90.33078880407125,100.0,A,62.142857142857146,27.24867724867725,-34.8941798941799,34.8941798941799,,0,0,82.57775338455909,28.59495060373216,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9072,"Entertainment and Recreation Managers, Except Gambling",C,100.0,75.6,81.3,80.3,82.5,72.3,78.5,36.7,,66.8214416392243,51.26234906695939,75.28357116721553,83.89681668496158,62.21185510428101,61.45261617270398,43.9,6.0,5.1,79520.0,6.7,Bachelor's degree,98.14814814814817,91.94139194139194,93.16239316239316,83.96946564885496,100.0,A,68.69047619047619,,,,,0,0,70.71121478229051,51.26234906695939,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9081,Lodging Managers,A,100.0,69.7,66.1,60.8,72.5,60.6,82.8,37.3,12.2,74.31174533479692,47.8229052323454,82.80278082693012,90.65861690450056,62.294182217343575,87.98024149286498,54.8,3.8,5.5,69250.0,5.7,High school diploma or equivalent,92.72486772486772,76.86202686202687,97.1916971916972,92.6208651399491,100.0,A,74.88095238095238,78.43915343915344,3.558201058201064,3.558201058201064,,0,0,80.93395536040981,47.8229052323454,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9111,Medical and Health Services Managers,B,100.0,79.7,85.8,99.5,69.0,91.0,86.6,35.3,6.6,47.81668496158068,28.54006586169045,51.71972191730699,76.87156970362238,26.59165751920966,55.36040980607391,640.4,24.2,62.3,123860.0,4.1,Bachelor's degree,99.73544973544972,95.36019536019536,99.51159951159951,46.18320610687023,100.0,A,66.66666666666666,70.43650793650794,3.76984126984128,3.76984126984128,,0,0,52.63583973655324,28.54006586169045,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
