outcome,ai_source,hm_spec,interaction,controls,winsor,weighted,high_mapping_conf,term,std_beta,robust_se,p_value,n,r2,adj_r2,p_fdr_bh
opening_rate,observed_exposure,HM_equal_z,False,True,False,False,False,education_ord,-0.5216987709056756,0.0602994230547932,5.0691788862937796e-18,565,0.6071253335048625,0.588138825458629,
opening_rate,observed_exposure,HM_equal_z,False,True,False,False,False,self_emp,-0.0605690862537225,0.0379762281886524,0.1107298887139036,565,0.6071253335048625,0.588138825458629,
opening_rate,observed_exposure,HM_equal_z,True,True,False,False,False,AI,-0.0292869507612381,0.0468294815703686,0.531711462736693,565,0.6074713453674745,0.5877352677602525,0.7225333138763266
opening_rate,observed_exposure,HM_equal_z,True,True,False,False,False,HM,-0.0879843202798136,0.0408499936935479,0.0312527794936252,565,0.6074713453674745,0.5877352677602525,0.111120993755112
opening_rate,observed_exposure,HM_equal_z,True,True,False,False,False,AIxHM,-0.0222928563536203,0.0314801142146981,0.4788479016853911,565,0.6074713453674745,0.5877352677602525,0.6842752850032702
opening_rate,observed_exposure,HM_equal_z,True,True,False,False,False,log_emp,0.0173487613170152,0.0367860318769836,0.6372032309195093,565,0.6074713453674745,0.5877352677602525,
opening_rate,observed_exposure,HM_equal_z,True,True,False,False,False,education_ord,-0.5226412249435924,0.0601384800335899,3.604379492880218e-18,565,0.6074713453674745,0.5877352677602525,
opening_rate,observed_exposure,HM_equal_z,True,True,False,False,False,self_emp,-0.0612892871896138,0.0380691686404186,0.1074097521170943,565,0.6074713453674745,0.5877352677602525,
opening_rate,observed_exposure,HM_PCA1,False,True,False,False,False,AI,-0.0122795781914976,0.0397074730004019,0.7571305544150593,565,0.608631368221386,0.5897176425220477,0.8501114996941016
opening_rate,observed_exposure,HM_PCA1,False,True,False,False,False,HM,-0.1032764482039517,0.0420103334195884,0.0139573878268033,565,0.608631368221386,0.5897176425220477,0.0661683571048453
opening_rate,observed_exposure,HM_PCA1,False,True,False,False,False,log_emp,0.0145420481111173,0.0359962654979386,0.6862217721778117,565,0.608631368221386,0.5897176425220477,
opening_rate,observed_exposure,HM_PCA1,False,True,False,False,False,education_ord,-0.5048186842121051,0.0622535795717616,5.100832111763203e-16,565,0.608631368221386,0.5897176425220477,
opening_rate,observed_exposure,HM_PCA1,False,True,False,False,False,self_emp,-0.0603983831491847,0.0377486364679372,0.1095952642121348,565,0.608631368221386,0.5897176425220477,
opening_rate,observed_exposure,HM_PCA1,True,True,False,False,False,AI,-0.0227417361690603,0.0409518169228265,0.5786695691498793,565,0.609453295638526,0.5898168691622507,0.7558133148080056
opening_rate,observed_exposure,HM_PCA1,True,True,False,False,False,HM,-0.1079717229656016,0.0418744684901857,0.0099241233560211,565,0.609453295638526,0.5898168691622507,0.0552299038943783
opening_rate,observed_exposure,HM_PCA1,True,True,False,False,False,AIxHM,-0.0373423964326437,0.0323876110538324,0.2489169633383541,565,0.609453295638526,0.5898168691622507,0.4084791193244785
opening_rate,observed_exposure,HM_PCA1,True,True,False,False,False,log_emp,0.0181503587852036,0.0363718230419613,0.6177635193142637,565,0.609453295638526,0.5898168691622507,
opening_rate,observed_exposure,HM_PCA1,True,True,False,False,False,education_ord,-0.5057343423892905,0.0620488902187542,3.6218783709105566e-16,565,0.609453295638526,0.5898168691622507,
opening_rate,observed_exposure,HM_PCA1,True,True,False,False,False,self_emp,-0.0618975368380839,0.0379638369337632,0.1030097684469699,565,0.609453295638526,0.5898168691622507,
log_wage,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,AI,0.0401892499011237,0.0478493735984368,0.4009578832679352,566,0.7436445073502693,0.7312785652187425,0.596774523933671
log_wage,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,HM,0.1389500028863673,0.029653533569618,2.788925823400011e-06,566,0.7436445073502693,0.7312785652187425,6.448178414374472e-05
log_wage,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,log_emp,-0.0486943328982848,0.0245663572488073,0.0474618724267518,566,0.7436445073502693,0.7312785652187425,
log_wage,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,education_ord,0.7532198678477827,0.0545598568065609,2.365032293994082e-43,566,0.7436445073502693,0.7312785652187425,
log_wage,ilo_exposure_mean,HM_equal_z,False,True,False,False,False,self_emp,-0.0037273054176602,0.0294315447632243,0.8992227925722138,566,0.7436445073502693,0.7312785652187425,
log_wage,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,AI,0.0441304300649731,0.051279403006573,0.3894650920549983,566,0.7437079240525903,0.7308456823228876,0.5864886092122328
log_wage,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,HM,0.1399197714076294,0.0300763653441051,3.2849153913750862e-06,566,0.7437079240525903,0.7308456823228876,6.448178414374472e-05
log_wage,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,AIxHM,0.0094792825397189,0.0264679583337917,0.7202371905555315,566,0.7437079240525903,0.7308456823228876,0.8501114996941016
log_wage,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,log_emp,-0.0492522513509456,0.024482325004621,0.0442465812469589,566,0.7437079240525903,0.7308456823228876,
log_wage,ilo_exposure_mean,HM_equal_z,True,True,False,False,False,education_ord,0.7544637568816495,0.0546219347852957,2.1435804510358762e-43,566,0.7437079240525903,0.7308456823228876,
